Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Albania,33.6,8.22,21.53,27.65,22.94,28.65
2,Algeria,25.08,3.84,14.98,27.36,12.5,25.42
3,Argentina,32.13,6.88,20.12,26.83,27.99,33.64
4,Armenia,38.96,17.55,28.77,33.94,32.17,26.04
5,Australia,72.27,35.67,54.86,72.75,64.07,117.56
6,Austria,64.11,22.75,44.44,58.04,60.66,75.09
7,Azerbaijan,28.33,6.4,17.9,25.66,24.95,29.36
8,Bahamas,88.27,38.41,64.55,71.92,94.29,44.22
9,Bahrain,53.84,27.61,41.36,43.46,47.34,60.36
10,Bangladesh,29.28,3.57,17.05,27.95,17.55,25.34
11,Barbados,87.07,21.16,55.71,81.73,74.5,32.62
12,Belarus,26.39,8.32,17.8,24.17,25.8,32.31
13,Belgium,62.8,21.46,43.14,53.17,65.92,86.27
14,Belize,49.55,11.87,31.62,46.24,32.35,41.6
15,Bermuda,141.74,98.96,121.39,142.62,144.74,82.34
16,Bolivia,32.57,8.54,21.14,29.14,22.99,36.5
17,Bosnia And Herzegovina,32.24,5.31,19.42,28.57,20.8,46.51
18,Botswana,36.52,8.33,23.11,32.46,37.38,59.92
19,Brazil,34.81,8.46,22.28,29.99,25.58,27.28
20,Brunei,43.37,18.31,31.45,46.37,27.92,87.28
21,Bulgaria,37.58,9.57,24.26,33.51,31.81,46.9
22,Cambodia,45.73,13.97,30.62,46,20.64,13.96
23,Cameroon,32.5,5.49,19.65,33.26,21.47,16.95
24,Canada,68.78,35.06,52.74,68.1,64.28,101.67
25,Chile,37.16,11.41,24.91,34.1,33.68,35.79
26,China,40.31,22.13,31.66,42.89,29.01,56.24
27,Colombia,25.23,7.82,16.95,22.98,18.3,28.27
28,Costa Rica,43.65,13.31,29.21,42.4,36.29,38.59
29,Croatia,43.74,11.63,28.47,37.29,36.47,52.79
30,Cuba,54.02,16.38,36.12,48.39,31.63,1.48
31,Cyprus,52.48,23.37,38.63,43.18,52.62,54.47
32,Czech Republic,44.33,18.27,31.93,37.59,33.4,69.94
33,Denmark,73.09,29.18,52.21,59.94,81.12,99.76
34,Dominican Republic,41.97,10.29,26.9,38.05,34.35,21.62
35,Ecuador,35.73,9.73,23.36,32.95,25.81,33.55
36,Egypt,26.27,5.49,16.39,24.62,22.05,21.72
37,El Salvador,42.94,13.15,28.77,43.23,32.35,20.48
38,Estonia,49.47,14.73,32.94,39.65,47.84,60.41
39,Ethiopia,41.74,17.43,30.18,34.96,19.49,11.02
40,Fiji,39.37,15.1,27.83,44.1,32.22,38.72
41,Finland,63.75,21.89,43.83,56.42,63.59,91
42,France,65.55,24.88,46.2,63.17,63.58,79.61
43,Georgia,34.85,15.45,25.62,30.42,32.14,25.13
44,Germany,59.62,25.98,43.62,48.63,52.44,102.75
45,Ghana,29.98,17.93,24.25,31.08,22.73,17.06
46,Greece,50.23,12.4,32.23,39.29,46.17,38.39
47,Guatemala,41.34,14.93,28.77,40.56,29.05,26.88
48,Guernsey,70.88,45.6,58.85,65.92,71.79,70.61
49,Guyana,46.87,8.44,28.58,50.31,37.08,19.73
50,Honduras,38.91,9.11,24.73,33.78,26.18,31.41
51,Hong Kong,76.55,67.99,72.48,82.51,53.23,66.93
52,Hungary,34.64,11.13,23.46,30.85,28.23,53.24
53,Iceland,86.59,35.81,62.43,82.44,88.64,82.62
54,India,23.89,6.15,15.45,25.56,16.44,76.44
55,Indonesia,32.2,8.2,20.78,35.14,16.73,25.52
56,Iran,36.49,16.41,26.94,28.03,25.36,18.03
57,Iraq,31.81,9.44,21.17,27.78,25.89,43.58
58,Ireland,66.73,44.19,56,54.18,66.72,75.2
59,Israel,77.28,32.95,56.19,66.45,83.92,73.54
60,Italy,58.47,20.95,40.62,49.91,59.12,58
61,Ivory Coast,38.24,13.65,26.54,33.43,25.57,7.84
62,Jamaica,50.75,14.82,33.66,52.61,35.51,26.25
63,Japan,62.77,20.85,42.83,66.56,35.57,91.13
64,Jersey,80.38,55.37,68.48,64.52,89.23,68.72
65,Jordan,47.53,8.92,29.16,39.89,39.37,32.23
66,Kazakhstan,26.45,8.39,17.86,23.73,25.19,35.23
67,Kenya,33.36,7.49,21.05,31.39,28.15,32.19
68,Kosovo (Disputed Territory),25.23,6.85,16.49,23.5,15.92,38.91
69,Kuwait,46,27.68,37.28,33.26,41.99,81.76
70,Kyrgyzstan,25.83,7.63,17.17,25.43,21.08,23.94
71,Latvia,45.21,10.02,28.47,35.94,37.89,49.84
72,Lebanon,68.53,20.71,45.78,68.17,48.91,31.98
73,Libya,24.6,5.05,15.3,24.87,19.73,30.05
74,Lithuania,43.1,15.31,29.88,35.36,39.19,55.67
75,Luxembourg,72.15,47.95,60.64,67.3,73.74,96.13
76,Macao,68.39,36.63,53.28,73.6,48.7,72.82
77,Malaysia,34.41,9.73,22.67,37.1,19.85,59.41
78,Maldives,54.49,27.42,41.61,52.99,32.27,31.8
79,Malta,57.71,24.68,41.99,50.77,58.76,44.8
80,Mauritius,40.68,9.81,26,41.08,30.72,29.27
81,Mexico,35.14,12.05,24.15,34.85,31.94,41.1
82,Moldova,28.92,7.4,18.68,24.44,23.96,33.37
83,Mongolia,33.69,9.1,21.99,34.51,26.39,23.62
84,Montenegro,34.74,11.05,23.47,29.19,27.5,37.23
85,Morocco,29.71,7.27,19.03,26.43,20.4,32.67
86,Myanmar,33.14,19.26,26.54,35.62,18.18,28.1
87,Namibia,35.59,11.56,24.16,32.98,37.44,50.99
88,Nepal,26.18,3.79,15.53,24.61,18.1,19.97
89,Netherlands,67.71,33.37,51.37,58.11,64.7,99.58
90,New Zealand,68.96,29.43,50.15,67.69,63.87,85.02
91,Nicaragua,37.17,8.17,23.37,35.71,25.12,19.61
92,Nigeria,30.01,32.85,31.36,33.07,20,8.25
93,North Macedonia,28.51,5.05,17.35,24.75,19.43,35.57
94,Norway,85.93,30.55,59.59,81.31,87.59,86.27
95,Oman,48.11,15.39,32.54,45.13,39.78,78.78
96,Pakistan,17.78,3.43,10.95,15.77,13.55,24.45
97,Palestine,50.25,9.51,30.87,44.14,37.6,38.81
98,Panama,48.25,19.51,34.58,47.28,40.15,32.66
99,Paraguay,30.24,9.52,20.38,26.15,22.37,25.45
100,Peru,30.74,10.18,20.95,29.23,20.23,28.52
101,Philippines,33.62,10.34,22.55,33.61,20.08,20.06
102,Poland,35.06,14.15,25.12,28.39,31.4,60.65
103,Portugal,42.18,20.7,31.96,33.8,34.88,47.89
104,Puerto Rico,64.58,21.59,44.13,66.06,53.57,65.41
105,Qatar,60.56,50.37,55.71,51.61,58.46,98.13
106,Romania,34.93,9.98,23.06,30.54,29.74,48.84
107,Russia,48.07,15.96,32.8,41.19,44.2,42.22
108,Rwanda,30.82,13.39,22.53,26.69,25.02,26.3
109,Saudi Arabia,50.35,11.29,31.77,42.47,36.67,93.26
110,Serbia,33.35,7.54,21.07,26.79,27.18,41.56
111,Singapore,79.09,65.09,72.43,71.36,52.2,94.65
112,Slovakia,41.03,13.79,28.07,38.25,30.59,53.84
113,Slovenia,47.3,15.32,32.09,42.06,39.38,57.95
114,Somalia,31.92,5.03,19.13,35,24.82,30.7
115,South Africa,37.94,14.76,26.91,31.09,35.01,77.84
116,South Korea,66.95,16.47,42.94,84.47,36.82,81.3
117,Spain,47.51,21.4,35.09,39.45,47.54,77.29
118,Sri Lanka,22.41,5.66,14.45,26.85,10.97,15.28
119,Sweden,61.77,23.05,43.35,54.86,62.29,94.93
120,Switzerland,110.34,50.21,81.73,113.35,104.3,116.19
121,Syria,25.82,4.44,15.65,23.66,18.27,5.72
122,Taiwan,55.95,15.41,36.66,66.99,27.04,61.78
123,Tanzania,30.13,10.09,20.6,28.2,21.42,17.67
124,Thailand,38.62,12.54,26.21,40.5,19.81,30.82
125,Trinidad And Tobago,53.38,14.14,34.71,52.79,50.59,37.35
126,Tunisia,25.48,4.89,15.69,24.91,14.13,28.62
127,Turkey,28.38,6.48,17.96,23.7,17.25,28.04
128,Uganda,31.41,9.03,20.76,28.69,22.04,11.76
129,Ukraine,30.7,10.79,21.22,27.11,26.24,36.29
130,United Arab Emirates,58.01,37.34,48.18,46.72,53.87,118.94
131,United Kingdom,60.42,30.99,46.42,48.68,63.73,92.86
132,United States,69.92,46.86,58.95,70.06,65.75,99.88
133,Uruguay,59.05,15,38.09,48.69,57.73,28.64
134,Uzbekistan,26.3,9.84,18.47,25.31,22.58,24.06
135,Venezuela,41.77,8.07,25.74,36.08,42.92,12.72
136,Vietnam,35.59,11.73,24.24,36.37,18.24,28.18
137,Zimbabwe,42.54,9.71,26.92,37.68,34.27,17.34
